run,product_a_id,product_a_name,product_b_id,product_b_name,confidence
2026-08-17T16:10:16Z,159,Zebronics Pods B11 True Wireless Earbuds | Bluetooth v6.0 | 13mm Drivers | Up to 27 Hours Playback (Black),362,Neo N888 EARBUDS Bluetooth True Wireless (TWS) On Ear 4 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Blue,63.89
2026-08-17T16:10:16Z,159,Zebronics Pods B11 True Wireless Earbuds | Bluetooth v6.0 | 13mm Drivers | Up to 27 Hours Playback (Black),364,"TWS Wireless Bluetooth Earbuds, TWS Earbuds, Headphone Bluetooth, earbuds under 300",68.42
2026-08-17T16:10:16Z,159,Zebronics Pods B11 True Wireless Earbuds | Bluetooth v6.0 | 13mm Drivers | Up to 27 Hours Playback (Black),365,"COREGENIX BQ40 Bluetooth True Wireless (TWS) In Ear 30 Hours Playback Magnetic earpeice,Low Latency IPX4(Splash & Sweat Proof) Black",61.97
2026-08-17T16:10:16Z,160,Sony LinkBuds Fit WF-LS910N True Wireless Earbuds | Active Noise Cancelling | AI Call Quality | Bluetooth v5.3 (Black),348,Neo BT 700 Bluetooth True Wireless (TWS) On Ear 5 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Assorted,61.47
2026-08-17T16:10:16Z,160,Sony LinkBuds Fit WF-LS910N True Wireless Earbuds | Active Noise Cancelling | AI Call Quality | Bluetooth v5.3 (Black),354,Neo A1 PLUS Bluetooth Bluetooth Neckband On Ear 40 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Green,56.11
2026-08-17T16:10:16Z,160,Sony LinkBuds Fit WF-LS910N True Wireless Earbuds | Active Noise Cancelling | AI Call Quality | Bluetooth v5.3 (Black),355,Neo AREAL MEE Bluetooth Bluetooth Neckband On Ear 30 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Black,62.78
2026-08-17T16:10:16Z,160,Sony LinkBuds Fit WF-LS910N True Wireless Earbuds | Active Noise Cancelling | AI Call Quality | Bluetooth v5.3 (Black),358,Neo SH 12 On Ear Bluetooth Headphone 8 Hours Playback IPX4(Splash & Sweat Proof) Active Noise cancellation -Bluetooth Black,56.62
2026-08-17T16:10:16Z,160,Sony LinkBuds Fit WF-LS910N True Wireless Earbuds | Active Noise Cancelling | AI Call Quality | Bluetooth v5.3 (Black),362,Neo N888 EARBUDS Bluetooth True Wireless (TWS) On Ear 4 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Blue,61.8
2026-08-17T16:10:16Z,160,Sony LinkBuds Fit WF-LS910N True Wireless Earbuds | Active Noise Cancelling | AI Call Quality | Bluetooth v5.3 (Black),364,"TWS Wireless Bluetooth Earbuds, TWS Earbuds, Headphone Bluetooth, earbuds under 300",68.42
2026-08-17T16:10:16Z,161,"Sony WF-1000XM5 Truly Wireless Earbuds with HD Noise Cancellation, 3-minute Quick Charge, 24 Hours Battery Life, High-Res Audio (Pink)",348,Neo BT 700 Bluetooth True Wireless (TWS) On Ear 5 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Assorted,56.8
